DT 1,DT 2,DT 3,DT 4
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.022900763358778626,0.0
0.016129032258064516,0.0,1.2290076335877862,0.0
0.33064516129032256,0.16666666666666666,3.969465648854962,0.014705882352941176
4.653225806451613,0.2857142857142857,15.083969465648854,0.11764705882352941
16.693548387096776,1.380952380952381,34.25190839694657,1.4558823529411764
25.016129032258064,6.238095238095238,55.31297709923664,2.661764705882353
33.645161290322584,11.023809523809524,76.87022900763358,5.985294117647059
41.096774193548384,15.857142857142858,96.46564885496183,10.132352941176471
44.13709677419355,19.642857142857142,113.87022900763358,17.808823529411764
53.225806451612904,24.928571428571427,126.80916030534351,20.41176470588235
64.59677419354838,28.476190476190474,138.87022900763358,19.38235294117647
74.98387096774194,30.738095238095237,149.93893129770993,24.455882352941178
90.20967741935483,34.0,165.48091603053436,31.08823529411765
110.84677419354838,39.38095238095238,196.75572519083968,45.30882352941177
133.7983870967742,42.642857142857146,228.9083969465649,51.61764705882353
155.9516129032258,45.5,268.59541984732823,73.48529411764706
193.30645161290323,57.80952380952381,319.03053435114504,81.6029411764706
232.5241935483871,72.78571428571429,360.9541984732824,94.44117647058823
263.7983870967742,80.04761904761905,394.58015267175574,107.30882352941177
286.28225806451616,99.11904761904762,422.57251908396944,125.25
303.4193548387097,115.38095238095238,449.51145038167937,138.64705882352942
322.5483870967742,125.76190476190476,475.0916030534351,147.5441176470588
346.60483870967744,139.21428571428572,496.6106870229008,155.8235294117647
379.31451612903226,150.04761904761904,520.3282442748092,167.4264705882353
407.7016129032258,149.47619047619048,542.5419847328244,190.83823529411765
432.85483870967744,161.45238095238096,562.5267175572519,229.27941176470588
459.23387096774195,180.78571428571428,583.6870229007634,254.5735294117647
488.68548387096774,199.66666666666666,600.9618320610687,272.02941176470586
521.5645161290323,221.54761904761904,619.1679389312977,274.6617647058824
542.4677419354839,230.61904761904762,626.4351145038167,264.2647058823529
555.5483870967741,244.1904761904762,637.4351145038167,264.47058823529414
571.5403225806451,257.0238095238095,649.763358778626,267.5147058823529
584.266129032258,267.45238095238096,661.0763358778626,277.2647058823529
587.7177419354839,269.57142857142856,673.9007633587786,289.5147058823529
600.483870967742,274.92857142857144,686.2290076335878,299.44117647058823
625.1048387096774,267.57142857142856,694.0610687022901,289.6470588235294
640.9516129032259,280.3333333333333,703.2519083969465,301.69117647058823
653.8387096774194,297.57142857142856,711.8778625954199,301.8529411764706
659.0887096774194,315.8809523809524,719.3816793893129,305.0
665.7983870967741,313.7142857142857,732.1603053435115,309.02941176470586
678.3306451612904,310.64285714285717,746.2748091603054,349.5147058823529
681.8548387096774,319.7857142857143,750.4732824427481,390.0147058823529
687.3629032258065,324.57142857142856,754.6030534351145,395.5735294117647
687.4758064516129,324.73809523809524,750.1297709923664,408.0735294117647
689.758064516129,324.1190476190476,751.5801526717557,415.54411764705884
691.4112903225806,325.07142857142856,758.9465648854962,434.05882352941177
688.233870967742,315.3809523809524,763.9770992366413,426.22058823529414
691.4193548387096,316.04761904761904,766.1145038167939,421.47058823529414
691.0483870967741,323.0238095238095,767.2290076335878,428.52941176470586
694.8709677419355,310.0952380952381,771.3435114503817,422.55882352941177
695.258064516129,307.3809523809524,772.6641221374045,430.9852941176471
695.483870967742,310.4047619047619,769.9312977099237,445.1617647058824
692.0,323.1666666666667,769.6717557251908,457.6470588235294
666.7177419354839,301.3809523809524,766.3435114503817,470.5735294117647
656.6532258064516,294.76190476190476,762.7557251908397,470.52941176470586
656.0887096774194,298.0,762.6488549618321,477.95588235294116
656.6451612903226,305.07142857142856,768.9923664122138,484.0882352941176
655.8306451612904,299.35714285714283,768.8931297709923,488.1470588235294
651.3467741935484,295.07142857142856,768.6793893129772,477.6029411764706
636.9677419354839,312.92857142857144,768.8778625954199,492.3529411764706
632.5241935483871,311.95238095238096,768.5496183206106,506.6470588235294
631.1451612903226,291.76190476190476,765.5114503816794,503.79411764705884
635.016129032258,272.1190476190476,760.5114503816794,506.7647058823529
637.0322580645161,251.16666666666666,762.6793893129772,501.70588235294116
648.2983870967741,293.3095238095238,775.412213740458,513.2205882352941
631.8629032258065,309.5238095238095,770.1374045801526,535.0
631.25,306.45238095238096,769.3740458015267,530.4264705882352
636.7177419354839,292.54761904761904,773.5801526717557,533.2647058823529
637.491935483871,292.35714285714283,771.9236641221374,545.7205882352941
636.2903225806451,282.95238095238096,768.412213740458,545.3382352941177
642.241935483871,270.1904761904762,760.7938931297709,541.9558823529412
645.5725806451613,278.5952380952381,764.0381679389313,543.4705882352941
635.9112903225806,284.35714285714283,765.7709923664122,543.3382352941177
632.3467741935484,284.42857142857144,763.6564885496183,549.3382352941177
631.6209677419355,284.3809523809524,761.3816793893129,550.3676470588235
625.6209677419355,292.6190476190476,765.175572519084,538.3529411764706
639.6693548387096,302.3095238095238,773.2061068702291,537.9558823529412
621.0887096774194,287.1904761904762,764.7404580152672,522.0441176470588
617.8870967741935,283.1190476190476,763.3969465648855,520.6176470588235
632.4354838709677,281.14285714285717,764.1145038167939,516.4852941176471
636.0564516129032,264.3095238095238,768.3053435114504,505.97058823529414
626.1935483870968,259.6190476190476,765.4885496183206,521.8529411764706
614.2903225806451,259.04761904761904,760.3511450381679,538.3382352941177
613.9112903225806,266.23809523809524,761.4961832061068,540.6911764705883
606.2016129032259,277.85714285714283,760.2442748091603,554.0
606.4112903225806,272.54761904761904,749.6870229007634,547.1617647058823
599.6612903225806,262.5238095238095,748.6412213740458,554.9411764705883
599.3548387096774,257.7142857142857,748.9312977099237,559.3088235294117
612.9435483870968,236.0952380952381,763.3053435114504,571.2941176470588
600.2096774193549,218.23809523809524,758.7328244274809,560.4117647058823
591.983870967742,218.92857142857142,753.3206106870228,556.7647058823529
581.991935483871,207.23809523809524,762.2290076335878,558.0588235294117
597.3548387096774,202.23809523809524,764.9389312977099,562.3970588235294
594.5645161290323,195.35714285714286,758.6870229007634,560.75
591.6612903225806,189.47619047619048,756.1603053435115,559.5588235294117
587.7983870967741,184.57142857142858,750.8396946564885,545.4558823529412
579.3064516129032,182.66666666666666,744.3053435114504,543.6911764705883
569.8467741935484,184.6904761904762,754.7404580152672,545.9117647058823
572.8467741935484,178.92857142857142,757.2442748091603,545.6176470588235
569.1532258064516,183.52380952380952,750.6259541984733,548.4558823529412
